Symbol,Price~,Type,Strike,"Exp Date",DTE,Bid,Mid,Ask,Last,Volume,"Open Int",Vol/OI,IV,Delta,"Date On List"
GME,25.14,Put,15,2022-11-18,73,0.91,1.02,1.12,1.05,5067,514,9.86,127.25%,-0.115109,2022-09-06
GME,210.88,Put,15,2021-10-15,108,0.11,0.16,0.2,0.2,6155,650,9.47,210.27%,-0.001971,2021-06-29
GME,17.86,Put,15,2024-01-05,17,0.11,0.19,0.27,0.16,655,186,3.52,70.83%,-0.112806,2023-12-18
GME,16.36,Put,15,2023-12-08,0,0.15,0.18,0.2,0.15,7049,4000,1.76,184.73%,-0.170688,2023-12-07
GME,16.36,Put,15,2023-09-15,21,0.75,0.78,0.8,0.79,1289,1030,1.25,90.54%,-0.307359,2023-08-24
GME,20.49,Put,15,2023-02-03,21,0.42,0.43,0.43,0.42,760,231,3.29,127.47%,-0.11892,2023-01-16
GME,14.91,Put,15,2023-12-08,2,1.41,1.42,1.43,1.43,2593,1834,1.41,313.94%,-0.464193,2023-12-05
GME,16.38,Put,15,2023-01-13,4,0.21,0.22,0.22,0.21,1360,896,1.52,106.01%,-0.196984,2023-01-09
GME,23,Put,15,2023-04-28,31,0.1,0.13,0.15,0.16,564,261,2.16,93.99%,-0.043656,2023-03-27
GME,202.83,Put,15,2023-01-20,567,1.11,1.43,1.75,1.22,1279,899,1.42,122.52%,-0.006758,2021-07-05
GME,26.39,Put,15,2023-04-21,197,2.22,2.36,2.5,2.32,1000,181,5.52,115.56%,-0.133317,2022-10-05
GME,17.92,Put,15,2024-01-19,387,5.2,5.38,5.55,5.33,1010,549,1.84,110.88%,-0.225993,2022-12-28
GME,19.04,Put,15,2023-02-17,37,1.34,1.38,1.42,1.45,6343,1913,3.32,140.59%,-0.222081,2023-01-11
GME,115.17,Put,15,2023-01-20,240,1.15,1.25,1.35,1.15,3634,2811,1.29,159.97%,-0.013207,2022-05-25
GME,16.22,Put,15,2023-01-13,8,0.49,0.51,0.53,0.5,1802,378,4.77,108.42%,-0.283457,2023-01-05
GME,15.3,Put,15,2023-12-08,6,1.43,1.46,1.49,1.48,1954,794,2.46,210.03%,-0.417877,2023-12-01
GME,65.01,Put,15,2021-03-19,56,0.77,0.78,0.78,0.82,3890,1111,3.5,0.00%,N/A,2021-01-22
GME,24.21,Put,15,2023-10-20,150,1.11,1.19,1.27,1.19,548,297,1.85,91.58%,-0.126988,2023-05-22
GME,20.49,Put,15,2023-02-03,21,0.42,0.43,0.43,0.42,760,231,3.29,127.47%,-0.11892,2023-01-13
GME,16.84,Put,15,2023-10-20,21,0.27,0.28,0.28,0.28,3442,1912,1.8,60.19%,-0.193765,2023-09-28
GME,19.81,Put,15,2022-12-30,8,0.12,0.14,0.15,0.14,886,277,3.2,138.33%,-0.071481,2022-12-22
GME,13.03,Put,15,2024-04-19,153,3.65,3.88,4.1,3.84,1467,854,1.72,74.56%,-0.516022,2023-11-17
GME,14.84,Put,15,2023-12-08,1,1.62,1.65,1.67,1.67,4559,2201,2.07,511.30%,-0.462719,2023-12-06
GME,15.96,Put,15,2024-01-12,6,0.11,0.12,0.13,0.11,1195,608,1.97,54.00%,-0.178059,2024-01-05
GME,17.02,Put,15,2023-11-17,67,0.86,0.9,0.93,0.88,2281,248,9.2,61.79%,-0.273758,2023-09-11
GME,15.07,Put,15,2023-12-22,10,0.83,0.86,0.89,0.85,540,290,1.86,88.49%,-0.460136,2023-12-11
GME,16.98,Put,15,2023-12-08,3,0.68,0.71,0.73,0.69,4564,1118,4.08,255.46%,-0.257639,2023-12-04
GME,23.87,Put,15,2023-04-14,23,0.09,0.12,0.15,0.12,580,102,5.69,114.91%,-0.03886,2023-03-22
GME,20.14,Put,15,2023-03-24,29,0.31,0.37,0.42,0.31,606,158,3.84,95.10%,-0.106447,2023-02-23
GME,20.57,Put,15,2021-02-19,58,1.65,1.65,1.66,1.65,5612,230,24.4,137.97%,N/A,2020-12-23
GME,90,Put,15,2021-02-05,3,0.15,0.16,0.16,0.16,4696,3446,1.36,763.18%,N/A,2021-02-02
GME,18.2,Put,15,2022-12-30,3,0.08,0.09,0.1,0.1,1229,969,1.27,159.59%,-0.079099,2022-12-27
