Symbol,Price~,Type,Strike,"Exp Date",DTE,Bid,Mid,Ask,Last,Volume,"Open Int",Vol/OI,IV,Delta,"Date On List"
GME,201.75,Call,305,2021-03-19,1,1.04,1.26,1.47,1.17,713,549,1.3,470.33%,N/A,2021-03-18
GME,201.75,Call,550,2021-03-26,8,2.9,3.4,3.9,3.35,678,439,1.54,395.50%,N/A,2021-03-18
GME,201.75,Call,220,2021-03-19,1,6.2,6.45,6.7,6.45,3047,1600,1.9,311.27%,N/A,2021-03-18
GME,201.75,Call,210,2021-03-19,1,8.85,9.08,9.3,9.1,2981,1427,2.09,298.20%,N/A,2021-03-18
GME,201.75,Call,250,2021-03-19,1,2.84,2.87,2.9,2.84,9478,4063,2.33,366.28%,N/A,2021-03-18
GME,200.27,Call,210,2021-03-19,0,0.1,0.11,0.11,0.1,10316,1794,5.75,53.23%,N/A,2021-03-19
GME,200.27,Call,225,2021-03-26,7,21.8,22.9,24,23.9,591,463,1.28,299.37%,N/A,2021-03-19
GME,200.27,Call,200,2021-03-26,7,30.75,33.08,35.4,32.8,1598,1217,1.31,297.52%,N/A,2021-03-19
GME,200.27,Call,550,2021-03-26,7,2.54,3.07,3.6,3,1146,799,1.43,416.73%,N/A,2021-03-19
GME,200.27,Call,350,2021-03-26,7,6,6.58,7.15,6.85,1878,1292,1.45,336.85%,N/A,2021-03-19
GME,200.27,Call,260,2021-03-26,7,15,15.75,16.5,15.5,525,353,1.49,304.04%,N/A,2021-03-19
GME,200.27,Call,240,2021-03-26,7,17.55,19.43,21.3,20.1,750,376,1.99,303.86%,N/A,2021-03-19
GME,200.27,Call,690,2021-03-26,7,2.48,2.49,2.5,2.49,10992,5200,2.11,467.59%,N/A,2021-03-19
GME,200.27,Call,200,2021-03-19,0,1.1,2.35,3.6,2.12,7692,3523,2.18,47.77%,N/A,2021-03-19
GME,200.27,Call,400,2021-03-26,7,4.5,4.9,5.3,4.83,4182,1701,2.46,353.44%,N/A,2021-03-19
GME,200.27,Call,210,2021-03-26,7,26.8,28.2,29.6,28.44,698,281,2.48,293.94%,N/A,2021-03-19
GME,200.27,Call,410,2021-03-26,7,4.2,4.65,5.1,5,659,262,2.52,365.05%,N/A,2021-03-19
GME,200.27,Call,195,2021-03-19,0,4.25,5.35,6.45,6.41,1351,526,2.57,75.31%,N/A,2021-03-19
GME,200.27,Call,280,2021-03-26,7,11.55,12.75,13.95,12.8,786,299,2.63,313.44%,N/A,2021-03-19
GME,200.27,Call,250,2021-03-26,7,16.5,17.05,17.6,17.01,2973,1055,2.82,297.80%,N/A,2021-03-19
GME,200.27,Call,230,2021-03-26,7,20.1,22.13,24.15,23.1,685,219,3.13,305.90%,N/A,2021-03-19
GME,200.27,Call,190,2021-03-19,0,9.1,10.2,11.3,10.8,1520,477,3.19,86.90%,N/A,2021-03-19
GME,200.27,Call,215,2021-03-26,7,24.65,26,27.35,26.85,540,150,3.6,296.00%,N/A,2021-03-19
GME,200.27,Call,220,2021-03-26,7,25,26.08,27.15,25.21,1498,321,4.67,296.65%,N/A,2021-03-19
GME,194.49,Call,350,2021-03-26,4,4.7,4.85,5,4.71,1780,1292,1.38,419.02%,N/A,2021-03-22
GME,194.49,Call,300,2021-03-26,4,7.35,7.6,7.85,7.26,3725,2507,1.49,397.03%,N/A,2021-03-22
GME,194.49,Call,700,2021-11-19,242,31.3,34.08,36.85,32.55,500,312,1.6,153.78%,N/A,2021-03-22
GME,194.49,Call,400,2021-03-26,4,3.2,3.45,3.7,3.5,2820,1701,1.66,449.45%,N/A,2021-03-22
GME,194.49,Call,600,2021-03-26,4,1.84,1.92,2,1.93,1878,1079,1.74,555.50%,N/A,2021-03-22
